hospital_id,hospital_name,branch_location,email,contact_info,address,doctors_available,open_hours,urgent_care
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-955,"1 Main St, Downtown City",D2067;D2028;D2054,8:30 AM - 6:30 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-956,"2 Main St, Uptown City",D2008;D2029;D2066;D2016,8:30 AM - 6:30 PM,No
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-957,"3 Main St, Suburban City",D2080;D2042;D2067,8:00 AM - 6:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-958,"4 Main St, Uptown City",D2100;D2014;D2008,9:00 AM - 5:00 PM,Yes
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-959,"5 Main St, Midtown City",D2056;D2064;D2074;D2086,9:00 AM - 5:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-960,"6 Main St, Uptown City",D2057;D2004;D2028;D2089,8:00 AM - 6:00 PM,No
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-961,"7 Main St, Suburban City",D2022;D2072,8:00 AM - 6:00 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-962,"8 Main St, Midtown City",D2021;D2066,9:00 AM - 5:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-963,"9 Main St, Uptown City",D2063;D2083,8:00 AM - 6:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-964,"10 Main St, Downtown City",D2076;D2025,8:30 AM - 6:30 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-965,"11 Main St, Uptown City",D2040;D2077;D2094;D2050,9:00 AM - 5:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-966,"12 Main St, Uptown City",D2056;D2032,8:30 AM - 6:30 PM,Yes
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-967,"13 Main St, Downtown City",D2079;D2085;D2022,8:00 AM - 6:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-968,"14 Main St, Uptown City",D2079;D2047,9:00 AM - 5:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-969,"15 Main St, Uptown City",D2043;D2075;D2085;D2068,8:30 AM - 6:30 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-970,"16 Main St, Midtown City",D2094;D2005,8:30 AM - 6:30 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-971,"17 Main St, Midtown City",D2088;D2062,8:30 AM - 6:30 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-972,"18 Main St, Midtown City",D2001;D2002;D2009,8:00 AM - 6:00 PM,Yes
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-973,"19 Main St, Suburban City",D2042;D2071;D2067,9:00 AM - 5:00 PM,Yes
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-974,"20 Main St, Midtown City",D2022;D2002;D2079,8:30 AM - 6:30 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-975,"21 Main St, Midtown City",D2042;D2067,8:00 AM - 6:00 PM,Yes
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-976,"22 Main St, Downtown City",D2088;D2037,8:30 AM - 6:30 PM,No
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-977,"23 Main St, Suburban City",D2082;D2028;D2031;D2069,9:00 AM - 5:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-978,"24 Main St, Uptown City",D2051;D2083,8:30 AM - 6:30 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-979,"25 Main St, Uptown City",D2027;D2013;D2095,8:00 AM - 6:00 PM,Yes
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-980,"26 Main St, Midtown City",D2036;D2092;D2044;D2093,9:00 AM - 5:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-981,"27 Main St, Downtown City",D2071;D2014,8:00 AM - 6:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-982,"28 Main St, Uptown City",D2097;D2090,9:00 AM - 5:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-983,"29 Main St, Downtown City",D2017;D2053,8:00 AM - 6:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-984,"30 Main St, Downtown City",D2005;D2071,8:00 AM - 6:00 PM,No
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-985,"31 Main St, Suburban City",D2056;D2044;D2012,8:30 AM - 6:30 PM,Yes
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-986,"32 Main St, Midtown City",D2048;D2044;D2093;D2010,9:00 AM - 5:00 PM,Yes
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-987,"33 Main St, Downtown City",D2089;D2064,9:00 AM - 5:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-988,"34 Main St, Downtown City",D2038;D2074;D2005,9:00 AM - 5:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-989,"35 Main St, Uptown City",D2038;D2048;D2073;D2052,8:00 AM - 6:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-990,"36 Main St, Downtown City",D2080;D2064;D2089,8:00 AM - 6:00 PM,Yes
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-991,"37 Main St, Midtown City",D2020;D2063;D2065;D2092,8:00 AM - 6:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-992,"38 Main St, Uptown City",D2032;D2096,8:00 AM - 6:00 PM,Yes
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-993,"39 Main St, Downtown City",D2047;D2042;D2061;D2002,8:00 AM - 6:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-994,"40 Main St, Uptown City",D2001;D2073;D2068;D2074,8:30 AM - 6:30 PM,Yes
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-995,"41 Main St, Downtown City",D2074;D2082;D2034;D2096,8:00 AM - 6:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-996,"42 Main St, Downtown City",D2036;D2057;D2022;D2079,9:00 AM - 5:00 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-997,"43 Main St, Midtown City",D2022;D2054,8:30 AM - 6:30 PM,Yes
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-998,"44 Main St, Suburban City",D2080;D2089;D2010;D2035,9:00 AM - 5:00 PM,No
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-999,"45 Main St, Suburban City",D2048;D2093,8:00 AM - 6:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1000,"46 Main St, Uptown City",D2064;D2072;D2038;D2030,8:30 AM - 6:30 PM,Yes
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-1001,"47 Main St, Downtown City",D2056;D2091;D2082,8:00 AM - 6:00 PM,Yes
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1002,"48 Main St, Suburban City",D2026;D2050,9:00 AM - 5:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1003,"49 Main St, Uptown City",D2046;D2007;D2068;D2036,8:30 AM - 6:30 PM,No
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1004,"50 Main St, Suburban City",D2030;D2003,8:30 AM - 6:30 PM,No
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1005,"51 Main St, Suburban City",D2094;D2087;D2014;D2084,8:00 AM - 6:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1006,"52 Main St, Uptown City",D2083;D2028;D2053,9:00 AM - 5:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-1007,"53 Main St, Downtown City",D2012;D2016,8:00 AM - 6:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1008,"54 Main St, Uptown City",D2006;D2098;D2100;D2089,8:30 AM - 6:30 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1009,"55 Main St, Uptown City",D2084;D2067;D2018;D2051,8:00 AM - 6:00 PM,Yes
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1010,"56 Main St, Suburban City",D2084;D2085,9:00 AM - 5:00 PM,Yes
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1011,"57 Main St, Suburban City",D2063;D2078;D2068;D2026,9:00 AM - 5:00 PM,No
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1012,"58 Main St, Suburban City",D2041;D2060;D2013,9:00 AM - 5:00 PM,Yes
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1013,"59 Main St, Suburban City",D2084;D2079;D2065;D2034,9:00 AM - 5:00 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1014,"60 Main St, Midtown City",D2054;D2085,9:00 AM - 5:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1015,"61 Main St, Uptown City",D2030;D2019;D2049,9:00 AM - 5:00 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1016,"62 Main St, Midtown City",D2071;D2017;D2077;D2003,8:00 AM - 6:00 PM,Yes
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1017,"63 Main St, Midtown City",D2036;D2084;D2033;D2094,8:00 AM - 6:00 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1018,"64 Main St, Midtown City",D2065;D2051;D2043;D2075,8:30 AM - 6:30 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1019,"65 Main St, Uptown City",D2049;D2021;D2048;D2007,8:30 AM - 6:30 PM,Yes
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1020,"66 Main St, Midtown City",D2070;D2038;D2060,8:30 AM - 6:30 PM,Yes
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1021,"67 Main St, Midtown City",D2014;D2061;D2080,8:30 AM - 6:30 PM,Yes
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1022,"68 Main St, Suburban City",D2015;D2016,8:00 AM - 6:00 PM,Yes
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-1023,"69 Main St, Downtown City",D2008;D2025;D2021,8:00 AM - 6:00 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1024,"70 Main St, Midtown City",D2002;D2016;D2013,9:00 AM - 5:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1025,"71 Main St, Uptown City",D2003;D2013;D2053,8:00 AM - 6:00 PM,Yes
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-1026,"72 Main St, Downtown City",D2001;D2008,8:00 AM - 6:00 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1027,"73 Main St, Midtown City",D2051;D2075;D2012;D2096,8:30 AM - 6:30 PM,No
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1028,"74 Main St, Suburban City",D2100;D2005;D2010,8:00 AM - 6:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-1029,"75 Main St, Downtown City",D2083;D2059;D2043,8:30 AM - 6:30 PM,No
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1030,"76 Main St, Suburban City",D2086;D2089,8:00 AM - 6:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1031,"77 Main St, Uptown City",D2021;D2015;D2024;D2057,8:30 AM - 6:30 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1032,"78 Main St, Uptown City",D2090;D2072,8:00 AM - 6:00 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1033,"79 Main St, Midtown City",D2041;D2056;D2010,9:00 AM - 5:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-1034,"80 Main St, Downtown City",D2057;D2013;D2026,8:30 AM - 6:30 PM,Yes
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1035,"81 Main St, Midtown City",D2081;D2089;D2057,9:00 AM - 5:00 PM,Yes
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1036,"82 Main St, Midtown City",D2086;D2053;D2061;D2071,8:30 AM - 6:30 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-1037,"83 Main St, Downtown City",D2055;D2060;D2025;D2058,9:00 AM - 5:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1038,"84 Main St, Uptown City",D2038;D2065;D2096,8:00 AM - 6:00 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1039,"85 Main St, Midtown City",D2065;D2067,8:00 AM - 6:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1040,"86 Main St, Uptown City",D2004;D2029;D2068,8:00 AM - 6:00 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1041,"87 Main St, Uptown City",D2086;D2054;D2057;D2006,8:30 AM - 6:30 PM,No
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1042,"88 Main St, Suburban City",D2086;D2047;D2073,9:00 AM - 5:00 PM,Yes
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1043,"89 Main St, Midtown City",D2087;D2022,8:00 AM - 6:00 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-1044,"90 Main St, Midtown City",D2076;D2021;D2081,8:30 AM - 6:30 PM,Yes
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1045,"91 Main St, Suburban City",D2099;D2044;D2014;D2043,9:00 AM - 5:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-1046,"92 Main St, Downtown City",D2013;D2017;D2099;D2049,8:30 AM - 6:30 PM,Yes
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1047,"93 Main St, Uptown City",D2038;D2096;D2024;D2018,8:00 AM - 6:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1048,"94 Main St, Uptown City",D2054;D2036,9:00 AM - 5:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1049,"95 Main St, Uptown City",D2033;D2022,8:00 AM - 6:00 PM,No
DENTA002,Denta Care Uptown,Uptown,uptown@dentacare.com,-1050,"96 Main St, Uptown City",D2032;D2033,8:30 AM - 6:30 PM,Yes
DENTA003,Denta Care Suburban,Suburban,suburban@dentacare.com,-1051,"97 Main St, Suburban City",D2099;D2024,8:30 AM - 6:30 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-1052,"98 Main St, Downtown City",D2063;D2084;D2047,9:00 AM - 5:00 PM,No
DENTA001,Denta Care Downtown,Downtown,downtown@dentacare.com,-1053,"99 Main St, Downtown City",D2047;D2012;D2089,8:30 AM - 6:30 PM,No
DENTA004,Denta Care Midtown,Midtown,midtown@dentacare.com,-4654,"100 Main St, Midtown City",D2009;D2052,8:00 AM - 6:00 PM,No
